[60, 43804, 29199, 56021, 1286, 6150, 11865, 2860, 2769, 7532, 9, 47165, 59939, 87607, 297, 18568, 2719, 206461, 121168, 24497, 4845, 7799, 5, 251, 1920, 6803, 0, 107, 318, 8, 60, 0, 4311]
[52004, 2, 82, 256, 8256, 6, 6, 1, 10028, 188, 0, 6674, 70, 60, 11680, 6, 0, 16387, 1778, 291, 5723, 224, 1, 0, 139, 0, 979, 234, 351, 208, 71, 0, 0]
[59095, 2, 1590, 15, 24107, 0, 0, 24461, 33755, 0, 8, 4597, 9, 125, 47239, 0, 6, 7755, 22, 5379, 15176, 0, 0, 0, 0, 0, 4982, 1519, 1875, 865, 169, 0, 0]
[38221, 0, 0, 0, 78737, 0, 12, 112, 24928, 211, 2, 0, 360, 2, 59610, 0, 78, 6227, 163, 0, 5516, 302, 4, 0, 59, 0, 2556, 796, 1191, 436, 54, 0, 0]
[41234, 6179, 31209, 10139, 5963, 3581, 10405, 1325, 2124, 5901, 1, 24251, 59793, 113918, 3316, 8003, 1581, 61911, 132103, 18345, 1102, 6106, 2, 7394, 444, 4041, 7968, 1154, 337, 1142, 19, 0, 2240]
[7176, 0, 0, 0, 5247, 3, 5, 4, 15111, 0, 0, 4080, 0, 0, 6021, 0, 0, 6060, 2, 38, 3659, 0, 0, 0, 0, 0, 373, 108, 314, 136, 27, 0, 0]
[24753, 1, 0, 11, 3972, 0, 0, 4, 5876, 0, 0, 1923, 445, 1791, 7477, 0, 0, 10859, 6, 4, 13687, 0, 0, 0, 1, 52, 3049, 186, 539, 395, 66, 349, 0]
[14852, 0, 0, 0, 7690, 0, 0, 0, 7579, 0, 0, 0, 5, 0, 6420, 0, 0, 3, 0, 4, 5018, 0, 0, 0, 0, 0, 1513, 207, 211, 241, 83, 0, 0]
[22111, 5768, 27450, 13161, 19039, 9403, 9525, 110, 9, 2563, 4, 24938, 13814, 43564, 14205, 4353, 2580, 15351, 20327, 16416, 401, 6842, 1, 237, 6, 24042, 3106, 6229, 0, 2626, 1, 0, 1474]
[13224, 0, 0, 0, 7167, 0, 0, 0, 1376, 0, 0, 0, 0, 0, 2814, 0, 0, 0, 0, 0, 3577, 0, 0, 0, 0, 2, 1869, 373, 95, 265, 51, 0, 0]
[20, 0, 0, 0, 13, 0, 0, 0, 39, 0, 0, 1, 2, 0, 3, 0, 0, 4, 4, 0, 5, 0, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0]
[65896, 1378, 3045, 3126, 32996, 1090, 2378, 290, 28710, 132, 1, 25160, 3014, 82, 25794, 1354, 540, 52, 1712, 4183, 6758, 2646, 0, 0, 0, 779, 6674, 1158, 771, 1176, 122, 0, 0]
[31313, 14552, 1, 0, 23516, 0, 0, 0, 17110, 0, 0, 0, 11, 388, 88693, 18313, 0, 0, 0, 2, 6333, 0, 0, 0, 1, 0, 2281, 525, 487, 363, 29, 0, 0]
[40090, 0, 30390, 46617, 22035, 6590, 12719, 1456, 13682, 2498, 2, 2820, 2796, 700, 13814, 0, 2222, 3245, 12794, 46550, 3140, 4701, 0, 0, 252, 2934, 5863, 1011, 649, 899, 96, 0, 0]
[1335, 9355, 11923, 4545, 605, 2829, 5328, 1247, 513, 3490, 3, 28589, 15329, 58768, 261, 6403, 2123, 46932, 130959, 12641, 20, 2959, 4, 617, 1075, 2027, 106, 22, 139, 22, 0, 0, 833]
