[823651, 823651, 823651, 823651, 823651, 823651, 823651, 823651, 823651, 823651, 823651, 823651, 823651, 823651, 823651, 823651, 823651, 823651, 823651, 823651, 823651, 823651, 823651, 823651, 823651, 823651, 823651, 823651, 823651, 823651, 823651, 823651, 823651]
[115715, 115715, 115715, 115715, 115715, 115715, 115715, 115715, 115715, 115715, 115715, 115715, 115715, 115715, 115715, 115715, 115715, 115715, 115715, 115715, 115715, 115715, 115715, 115715, 115715, 115715, 115715, 115715, 115715, 115715, 115715, 115715, 115715]
[232774, 232774, 232774, 232774, 232774, 232774, 232774, 232774, 232774, 232774, 232774, 232774, 232774, 232774, 232774, 232774, 232774, 232774, 232774, 232774, 232774, 232774, 232774, 232774, 232774, 232774, 232774, 232774, 232774, 232774, 232774, 232774, 232774]
[220570, 220570, 220570, 220570, 220570, 220570, 220570, 220570, 220570, 220570, 220570, 220570, 220570, 220570, 220570, 220570, 220570, 220570, 220570, 220570, 220570, 220570, 220570, 220570, 220570, 220570, 220570, 220570, 220570, 220570, 220570, 220570, 220570]
[641188, 641188, 641188, 641188, 641188, 641188, 641188, 641188, 641188, 641188, 641188, 641188, 641188, 641188, 641188, 641188, 641188, 641188, 641188, 641188, 641188, 641188, 641188, 641188, 641188, 641188, 641188, 641188, 641188, 641188, 641188, 641188, 641188]
[48372, 48372, 48372, 48372, 48372, 48372, 48372, 48372, 48372, 48372, 48372, 48372, 48372, 48372, 48372, 48372, 48372, 48372, 48372, 48372, 48372, 48372, 48372, 48372, 48372, 48372, 48372, 48372, 48372, 48372, 48372, 48372, 48372]
[75462, 75462, 75462, 75462, 75462, 75462, 75462, 75462, 75462, 75462, 75462, 75462, 75462, 75462, 75462, 75462, 75462, 75462, 75462, 75462, 75462, 75462, 75462, 75462, 75462, 75462, 75462, 75462, 75462, 75462, 75462, 75462, 75462]
[43835, 43835, 43835, 43835, 43835, 43835, 43835, 43835, 43835, 43835, 43835, 43835, 43835, 43835, 43835, 43835, 43835, 43835, 43835, 43835, 43835, 43835, 43835, 43835, 43835, 43835, 43835, 43835, 43835, 43835, 43835, 43835, 43835]
[309741, 309741, 309741, 309741, 309741, 309741, 309741, 309741, 309741, 309741, 309741, 309741, 309741, 309741, 309741, 309741, 309741, 309741, 309741, 309741, 309741, 309741, 309741, 309741, 309741, 309741, 309741, 309741, 309741, 309741, 309741, 309741, 309741]
[30825, 30825, 30825, 30825, 30825, 30825, 30825, 30825, 30825, 30825, 30825, 30825, 30825, 30825, 30825, 30825, 30825, 30825, 30825, 30825, 30825, 30825, 30825, 30825, 30825, 30825, 30825, 30825, 30825, 30825, 30825, 30825, 30825]
[105, 105, 105, 105, 105, 105, 105, 105, 105, 105, 105, 105, 105, 105, 105, 105, 105, 105, 105, 105, 105, 105, 105, 105, 105, 105, 105, 105, 105, 105, 105, 105, 105]
[222499, 222499, 222499, 222499, 222499, 222499, 222499, 222499, 222499, 222499, 222499, 222499, 222499, 222499, 222499, 222499, 222499, 222499, 222499, 222499, 222499, 222499, 222499, 222499, 222499, 222499, 222499, 222499, 222499, 222499, 222499, 222499, 222499]
[203955, 203955, 203955, 203955, 203955, 203955, 203955, 203955, 203955, 203955, 203955, 203955, 203955, 203955, 203955, 203955, 203955, 203955, 203955, 203955, 203955, 203955, 203955, 203955, 203955, 203955, 203955, 203955, 203955, 203955, 203955, 203955, 203955]
[363230, 363230, 363230, 363230, 363230, 363230, 363230, 363230, 363230, 363230, 363230, 363230, 363230, 363230, 363230, 363230, 363230, 363230, 363230, 363230, 363230, 363230, 363230, 363230, 363230, 363230, 363230, 363230, 363230, 363230, 363230, 363230, 363230]
[397156, 397156, 397156, 397156, 397156, 397156, 397156, 397156, 397156, 397156, 397156, 397156, 397156, 397156, 397156, 397156, 397156, 397156, 397156, 397156, 397156, 397156, 397156, 397156, 397156, 397156, 397156, 397156, 397156, 397156, 397156, 397156, 397156]
[116158, 116158, 116158, 116158, 116158, 116158, 116158, 116158, 116158, 116158, 116158, 116158, 116158, 116158, 116158, 116158, 116158, 116158, 116158, 116158, 116158, 116158, 116158, 116158, 116158, 116158, 116158, 116158, 116158, 116158, 116158, 116158, 116158]
[18615, 18615, 18615, 18615, 18615, 18615, 18615, 18615, 18615, 18615, 18615, 18615, 18615, 18615, 18615, 18615, 18615, 18615, 18615, 18615, 18615, 18615, 18615, 18615, 18615, 18615, 18615, 18615, 18615, 18615, 18615, 18615, 18615]
[542073, 542073, 542073, 542073, 542073, 542073, 542073, 542073, 542073, 542073, 542073, 542073, 542073, 542073, 542073, 542073, 542073, 542073, 542073, 542073, 542073, 542073, 542073, 542073, 542073, 542073, 542073, 542073, 542073, 542073, 542073, 542073, 542073]
[496484, 496484, 496484, 496484, 496484, 496484, 496484, 496484, 496484, 496484, 496484, 496484, 496484, 496484, 496484, 496484, 496484, 496484, 496484, 496484, 496484, 496484, 496484, 496484, 496484, 496484, 496484, 496484, 496484, 496484, 496484, 496484, 496484]
[222469, 222469, 222469, 222469, 222469, 222469, 222469, 222469, 222469, 222469, 222469, 222469, 222469, 222469, 222469, 222469, 222469, 222469, 222469, 222469, 222469, 222469, 222469, 222469, 222469, 222469, 222469, 222469, 222469, 222469, 222469, 222469, 222469]
[139998, 139998, 139998, 139998, 139998, 139998, 139998, 139998, 139998, 139998, 139998, 139998, 139998, 139998, 139998, 139998, 139998, 139998, 139998, 139998, 139998, 139998, 139998, 139998, 139998, 139998, 139998, 139998, 139998, 139998, 139998, 139998, 139998]
[46234, 46234, 46234, 46234, 46234, 46234, 46234, 46234, 46234, 46234, 46234, 46234, 46234, 46234, 46234, 46234, 46234, 46234, 46234, 46234, 46234, 46234, 46234, 46234, 46234, 46234, 46234, 46234, 46234, 46234, 46234, 46234, 46234]
[48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48, 48]
[8831, 8831, 8831, 8831, 8831, 8831, 8831, 8831, 8831, 8831, 8831, 8831, 8831, 8831, 8831, 8831, 8831, 8831, 8831, 8831, 8831, 8831, 8831, 8831, 8831, 8831, 8831, 8831, 8831, 8831, 8831, 8831, 8831]
[6101, 6101, 6101, 6101, 6101, 6101, 6101, 6101, 6101, 6101, 6101, 6101, 6101, 6101, 6101, 6101, 6101, 6101, 6101, 6101, 6101, 6101, 6101, 6101, 6101, 6101, 6101, 6101, 6101, 6101, 6101, 6101, 6101]
[47660, 47660, 47660, 47660, 47660, 47660, 47660, 47660, 47660, 47660, 47660, 47660, 47660, 47660, 47660, 47660, 47660, 47660, 47660, 47660, 47660, 47660, 47660, 47660, 47660, 47660, 47660, 47660, 47660, 47660, 47660, 47660, 47660]
[95091, 95091, 95091, 95091, 95091, 95091, 95091, 95091, 95091, 95091, 95091, 95091, 95091, 95091, 95091, 95091, 95091, 95091, 95091, 95091, 95091, 95091, 95091, 95091, 95091, 95091, 95091, 95091, 95091, 95091, 95091, 95091, 95091]
[28282, 28282, 28282, 28282, 28282, 28282, 28282, 28282, 28282, 28282, 28282, 28282, 28282, 28282, 28282, 28282, 28282, 28282, 28282, 28282, 28282, 28282, 28282, 28282, 28282, 28282, 28282, 28282, 28282, 28282, 28282, 28282, 28282]
[47784, 47784, 47784, 47784, 47784, 47784, 47784, 47784, 47784, 47784, 47784, 47784, 47784, 47784, 47784, 47784, 47784, 47784, 47784, 47784, 47784, 47784, 47784, 47784, 47784, 47784, 47784, 47784, 47784, 47784, 47784, 47784, 47784]
[13058, 13058, 13058, 13058, 13058, 13058, 13058, 13058, 13058, 13058, 13058, 13058, 13058, 13058, 13058, 13058, 13058, 13058, 13058, 13058, 13058, 13058, 13058, 13058, 13058, 13058, 13058, 13058, 13058, 13058, 13058, 13058, 13058]
[1466, 1466, 1466, 1466, 1466, 1466, 1466, 1466, 1466, 1466, 1466, 1466, 1466, 1466, 1466, 1466, 1466, 1466, 1466, 1466, 1466, 1466, 1466, 1466, 1466, 1466, 1466, 1466, 1466, 1466, 1466, 1466, 1466]
[349, 349, 349, 349, 349, 349, 349, 349, 349, 349, 349, 349, 349, 349, 349, 349, 349, 349, 349, 349, 349, 349, 349, 349, 349, 349, 349, 349, 349, 349, 349, 349, 349]
